Product_ID,Product_Name,Brand,Product_Type,Main_Ingredient,Price(₹),Rating,City,Avg_Temperature(°C),Humidity(%),Climate,Skin_Type,Skin_Concern,Review_Count,Packaging_Type,Gender_Target
P001,Vitamin C Night Cream,L’Oréal,Night Cream,Vitamin C,1025,4.3,Delhi,28,49,Moderate,Dry,Sun Damage,255,Tube,Women
P002,Aloe Vera Sunscreen,Dot & Key,Sunscreen,Aloe Vera,1040,3.6,Bengaluru,30,31,Dry,Dry,Sensitivity,191,Jar,Men
P003,Niacinamide Face Wash,Ponds,Face Wash,Niacinamide,465,3.9,Pune,29,80,Humid,Sensitive,Sun Damage,262,Bottle,Unisex
P004,Centella Asiatica Moisturizer,Cetaphil,Moisturizer,Centella Asiatica,625,4.5,Ahmedabad,31,65,Moderate,Sensitive,Sun Damage,339,Pump,Men
P005,Green Tea Lotion,The Ordinary,Lotion,Green Tea,1232,4.7,Bengaluru,30,39,Dry,Combination,Dryness,117,Jar,All
P006,Vitamin E Serum,Simple,Serum,Vitamin E,473,3.6,Pune,35,34,Dry,Dry,Sun Damage,497,Bottle,All
P007,Shea Butter Lotion,The Face Shop,Lotion,Shea Butter,983,3.8,Ahmedabad,25,65,Moderate,Combination,Dryness,161,Tube,Unisex
P008,Vitamin E Face Wash,Body Shop,Face Wash,Vitamin E,1084,3.7,Kochi,28,53,Moderate,Normal,Dryness,305,Jar,Men
P009,Vitamin E Gel,Body Shop,Gel,Vitamin E,644,4.0,Chennai,29,59,Moderate,All,Acne,201,Tube,All
P010,Vitamin C Lotion,Cetaphil,Lotion,Vitamin C,1193,3.6,Kochi,31,67,Moderate,All,Sun Damage,286,Bottle,All
P011,Shea Butter Serum,Cetaphil,Serum,Shea Butter,1025,4.7,Kochi,28,57,Moderate,All,Acne,142,Jar,All
P012,Vitamin E Sunscreen,L’Oréal,Sunscreen,Vitamin E,700,4.7,Ahmedabad,25,60,Moderate,Oily,Dryness,305,Tube,Women
P013,Green Tea Moisturizer,Simple,Moisturizer,Green Tea,557,4.6,Bengaluru,31,71,Humid,All,Sensitivity,223,Pump,Men
P014,Vitamin C Gel,Mamaearth,Gel,Vitamin C,629,4.8,Jaipur,31,81,Humid,All,Acne,271,Dropper,Unisex
P015,Tea Tree Oil Face Wash,Minimalist,Face Wash,Tea Tree Oil,1499,4.6,Mumbai,35,62,Moderate,Normal,Sensitivity,381,Pump,Women
P016,Hyaluronic Acid Cleanser,Wow Skin Science,Cleanser,Hyaluronic Acid,342,3.7,Mumbai,35,53,Moderate,Sensitive,Sensitivity,289,Pump,Unisex
P017,Tea Tree Oil Toner,The Face Shop,Toner,Tea Tree Oil,1364,3.9,Kolkata,31,54,Moderate,All,Sun Damage,195,Pump,All
P018,Vitamin E Moisturizer,Neutrogena,Moisturizer,Vitamin E,637,3.7,Delhi,28,56,Moderate,Sensitive,Sensitivity,488,Dropper,All
P019,Aloe Vera Cream,The Ordinary,Cream,Aloe Vera,349,4.1,Mumbai,28,70,Moderate,Oily,Acne,238,Jar,Women
P020,Aloe Vera Cream,Plum,Cream,Aloe Vera,1164,4.2,Mumbai,32,72,Humid,All,Acne,449,Tube,All
